Post ID,Message,Created Time,Attachments,Likes Count,Reactions,Shares Count,Comments Count,Views Count,Number of Fans
100391969617030_186492107672983,"Notre Basboussa revisitée façon chocolat est moelleuse et gôutue 😋 avec une texture légère qui la distingue de la Basboussa traditionnelle 😍

Chez Janati's Pâtisserie Artisanale, nous préparons notre Basboussa avec des ingrédients de qualité supérieure, selon des recettes familiales transmises de génération en génération. 

Pour les amateurs de chocolats 🍫 venez déguster notre Basboussa chocolat et laissez vous emporter en voyage à travers des saveurs exquises. 

#rabat #Maroc #Patisserie #Harhoura #Basboussa",2023-05-02T21:34:15+0000,"[{'description': ""Notre Basboussa revisitée façon chocolat est moelleuse et gôutue 😋 avec une texture légère qui la distingue de la Basboussa traditionnelle 😍\n\nChez Janati's Pâtisserie Artisanale, nous préparons notre Basboussa avec des ingrédients de qualité supérieure, selon des recettes familiales transmises de génération en génération. \n\nPour les amateurs de chocolats 🍫 venez déguster notre Basboussa chocolat et laissez vous emporter en voyage à travers des saveurs exquises. \n\n#rabat #Maroc #Patisserie #Harhoura #Basboussa"", 'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-2.fna.fbcdn.net/v/t39.30808-6/344796795_3462280144040688_7248154967674904426_n.jpg?stp=dst-jpg_p720x720&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGwr7eIoNrMwFkJiYbvzrEMw_zH7cLd92bD_Mftwt33ZiFoHLLWHpuqXAK8szYFXc5a9cV7daYC_9zq2sD1l1LP&_nc_ohc=2L-404q4nt8AX_1xZYt&_nc_oc=AQnHt0B_oSQFZtudmFKU5yg1O7R9pZ3j79CvulrlRFklJJTzRRzuXGkURvbiRdSIZPM&_nc_zt=23&_nc_ht=z-p3-scontent.fcmn1-2.fna&edm=AKK4YLsEAAAA&oh=00_AfBOwKlHag7EhsMrNx-Us1KpznFCl2RdqPCZfNxerQUFRg&oe=64C8E531', 'width': 720}}, 'target': {'id': '186492074339653', 'url': 'https://www.facebook.com/photo.php?fbid=186492074339653&set=a.104595589195969&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=186492074339653&set=a.104595589195969&type=3'}]",0,[],0,0,0,124
100391969617030_180402621615265,"جرب غريبة البهلة اللذيذة لدينا في JANATI'S Patisserie Artisanale! 🌟👌

غريبة البهلة الخاصة بنا هي تجربة ذوق حقيقية، وهي تخصص المغرب اللذيذ الذي سيسعد حواسك بالتأكيد. تم إعدادها باستخدام المكونات ذات الجودة العالية وتم إعدادها بعناية وفقًا لوصفات عائلية تم تحويلها من جيل إلى آخر.

لذلك، لا تتردد، تعال وجرب غريبة بهلة لدينا في JANATI'S Pâtisserie Artisanale ودع حاسة التذوق الخاصة بك تأخذك في رحلة عبر النكهات اللذيذة لبلدنا المغرب العزيز. 🇲🇦💛 #Maroc #Harhoura #Rabat #GhriybaBahla #Patisserie",2023-04-26T12:27:17+0000,"[{'description': ""جرب غريبة البهلة اللذيذة لدينا في JANATI'S Patisserie Artisanale! 🌟👌\n\nغريبة البهلة الخاصة بنا هي تجربة ذوق حقيقية، وهي تخصص المغرب اللذيذ الذي سيسعد حواسك بالتأكيد. تم إعدادها باستخدام المكونات ذات الجودة العالية وتم إعدادها بعناية وفقًا لوصفات عائلية تم تحويلها من جيل إلى آخر.\n\nلذلك، لا تتردد، تعال وجرب غريبة بهلة لدينا في JANATI'S Pâtisserie Artisanale ودع حاسة التذوق الخاصة بك تأخذك في رحلة عبر النكهات اللذيذة لبلدنا المغرب العزيز. 🇲🇦💛 #Maroc #Harhoura #Rabat #GhriybaBahla #Patisserie"", 'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-1.fna.fbcdn.net/v/t39.30808-6/343731722_196078553231107_55327309944271738_n.jpg?stp=dst-jpg_p720x720&_nc_cat=109&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeECRugVigbCYfZjW0G_OXXcZWak-0L3tYRlZqT7Qve1hN4V1le5Yuh4c4kRcO2SuF67qg4hM6SS4gHYc1DkXpj2&_nc_ohc=DjqMuLmHdz4AX-WzvnT&_nc_zt=23&_nc_ht=z-p3-scontent.fcmn1-1.fna&edm=AKK4YLsEAAAA&oh=00_AfCM7BN9bwhogmA03utXXbxqEjLAOZOW2sZ1bgdZb_qYJQ&oe=64C9A656', 'width': 720}}, 'target': {'id': '180402524948608', 'url': 'https://www.facebook.com/photo.php?fbid=180402524948608&set=a.104595589195969&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=180402524948608&set=a.104595589195969&type=3'}]",2,[],0,0,0,124
100391969617030_175634895425371,"🍴🍗 أحدث إضافة لقائمة الطعام لدينا “بسطيلة الدجاج” اللذيذة! 🍗🍴

استمتع بالطعم المتبل بإتقان مع صلصة بهارات خفيفة. وجبة لذيذة ومغذية سترضي حواسك! 😍😋

تعال وجربها في جناتيز باتيسري أرتيزانال لتجربة مذهلة ولذيذة. 🇲🇦👌

#Maroc #Harhoura #Rabat #PatillaPoulet #PouletGrillé #CuisineSaine #Patisserie",2023-04-19T21:52:10+0000,"[{'description': '🍴🍗 أحدث إضافة لقائمة الطعام لدينا “بسطيلة الدجاج” اللذيذة! 🍗🍴\n\nاستمتع بالطعم المتبل بإتقان مع صلصة بهارات خفيفة. وجبة لذيذة ومغذية سترضي حواسك! 😍😋\n\nتعال وجربها في جناتيز باتيسري أرتيزانال لتجربة مذهلة ولذيذة. 🇲🇦👌\n\n#Maroc #Harhoura #Rabat #PatillaPoulet #PouletGrillé #CuisineSaine #Patisserie', 'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-1.fna.fbcdn.net/v/t39.30808-6/341643652_238229845394859_8834803369610149095_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeERh3LRMmSio5N3qVFEAvrBrdlwMgcRF2Kt2XAyBxEXYlJwE2_0g6zi2akiR8-XT57SE44W-GeD7sEP00TuorDU&_nc_ohc=BaTGAKuQTCcAX_J4k19&_nc_zt=23&_nc_ht=z-p3-scontent.fcmn1-1.fna&edm=AKK4YLsEAAAA&oh=00_AfBc3duPKUs_mDhxYsEzQQswlpOWVtQBaCWH2WRWHTEPsw&oe=64C87DA4', 'width': 720}}, 'target': {'id': '175629875425873', 'url': 'https://www.facebook.com/photo.php?fbid=175629875425873&set=a.104595589195969&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=175629875425873&set=a.104595589195969&type=3'}]",0,[],0,0,0,124
100391969617030_174876008834593,"تحذير لمحبي الشوكولاتة! كعكة الشوكولاتة JANATI'S 🍫🍰 
- إن كعكة الشوكولاتة لدينا لذيذة للغاية وستجعلك تشعر بالإدمان.

لذلك، ماذا تنتظر؟ امنح نفسك (أو شخصًا تحبه) لحظة من السعادة النقية بالشوكولاتة. 🎉

اطلب الآن ونعدك بتجربة طعام لا تُنسى. 🤤

#cakeauchocolat #chocolat #patisserie #JANATIS #maroc #rabat #harhoura",2023-04-18T21:05:54+0000,"[{'description': ""تحذير لمحبي الشوكولاتة! كعكة الشوكولاتة JANATI'S 🍫🍰 \n- إن كعكة الشوكولاتة لدينا لذيذة للغاية وستجعلك تشعر بالإدمان.\n\nلذلك، ماذا تنتظر؟ امنح نفسك (أو شخصًا تحبه) لحظة من السعادة النقية بالشوكولاتة. 🎉\n\nاطلب الآن ونعدك بتجربة طعام لا تُنسى. 🤤\n\n#cakeauchocolat #chocolat #patisserie #JANATIS #maroc #rabat #harhoura"", 'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-1.fna.fbcdn.net/v/t39.30808-6/337751623_241016495103171_894544910111050010_n.jpg?stp=dst-jpg_p720x720&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeFRJBaBLhMZRby0IfH2ouWVaKmEns5CKahoqYSezkIpqPLlYcp-bH1MDVFl3OM5zPcKvZF6Va_RDkA5tOnQM3A7&_nc_ohc=pYPuwT98OSgAX_tQchm&_nc_zt=23&_nc_ht=z-p3-scontent.fcmn1-1.fna&edm=AKK4YLsEAAAA&oh=00_AfArQrYMTQ_Kvw8LlvJ4PDY4vEgDmbL67sKTbBimIoZHlg&oe=64C8A8EA', 'width': 720}}, 'target': {'id': '174875872167940', 'url': 'https://www.facebook.com/photo.php?fbid=174875872167940&set=a.104595589195969&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=174875872167940&set=a.104595589195969&type=3'}]",1,[],0,0,0,124
100391969617030_173963268925867,"🎉🎊 Faites un excellent choix pour la fête de l'Eid ! 🎉🎊 Notre Konafa est la pâtisserie orientale parfaite pour célébrer cette occasion spéciale. 🌙🌟 Chez Janati's Pâtisserie Artisanale, nous sommes fiers de préparer notre Konafa avec des ingrédients de qualité supérieure, selon des recettes familiales transmises de génération en génération. Notre Konafa est croustillante à l'extérieur et moelleuse à l'intérieur, et sa saveur unique vous transportera directement au Maroc. Venez déguster notre délicieuse Konafa et faire de votre fête de l'Eid un moment inoubliable chez Janati's Pâtisserie Artisanale. 🇲🇦👌🎉🎊 #Maroc #Harhoura #Rabat #Basboussa #Patisserie 😋🧁🍰👌",2023-04-17T14:00:03+0000,"[{'description': ""🎉🎊 Faites un excellent choix pour la fête de l'Eid ! 🎉🎊 Notre Konafa est la pâtisserie orientale parfaite pour célébrer cette occasion spéciale. 🌙🌟 Chez Janati's Pâtisserie Artisanale, nous sommes fiers de préparer notre Konafa avec des ingrédients de qualité supérieure, selon des recettes familiales transmises de génération en génération. Notre Konafa est croustillante à l'extérieur et moelleuse à l'intérieur, et sa saveur unique vous transportera directement au Maroc. Venez déguster notre délicieuse Konafa et faire de votre fête de l'Eid un moment inoubliable chez Janati's Pâtisserie Artisanale. 🇲🇦👌🎉🎊 #Maroc #Harhoura #Rabat #Basboussa #Patisserie 😋🧁🍰👌"", 'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-3.fna.fbcdn.net/v/t39.30808-6/336740523_561921266073285_2308859515361922352_n.jpg?stp=dst-jpg_p720x720&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGcvApNgvKKO4jSY8FVvzMdO8VxOqQ8UPQ7xXE6pDxQ9Dt1IrqT1AmCCLD9IBlnG1zOSuW9l7qEukfPHMBrFPhZ&_nc_ohc=knQ3iaG-mr8AX_j2bYO&_nc_zt=23&_nc_ht=z-p3-scontent.fcmn1-3.fna&edm=AKK4YLsEAAAA&oh=00_AfDd7zMXlDpAdZPC8DBD8gQ8z1YEX3l28eT6VQuExDl0FQ&oe=64C8982A', 'width': 720}}, 'target': {'id': '173963245592536', 'url': 'https://www.facebook.com/photo.php?fbid=173963245592536&set=a.104595589195969&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=173963245592536&set=a.104595589195969&type=3'}]",1,[],0,0,0,124
100391969617030_173485068973687,"Notre Basboussa 🧁 est moelleuse et sucrée 😋, avec une texture unique qui la distingue des autres pâtisseries. Elle est souvent servie lors de fêtes religieuses ou de célébrations spéciales, mais elle est également un excellent choix pour accompagner une tasse de thé ou de café.

Chez Janati's Pâtisserie Artisanale, nous préparons notre Basboussa avec des ingrédients de qualité supérieure, selon des recettes familiales transmises de génération en génération.

Venez déguster notre Basboussa chez Janati's Pâtisserie Artisanale et laissez-vous emporter en voyage à travers les saveurs exquises de notre cher Maroc. 🇲🇦💛 #Maroc #Harhoura #Rabat #Basboussa #Patisserie 😋🧁🍰👌",2023-04-16T21:24:51+0000,"[{'description': ""Notre Basboussa 🧁 est moelleuse et sucrée 😋, avec une texture unique qui la distingue des autres pâtisseries. Elle est souvent servie lors de fêtes religieuses ou de célébrations spéciales, mais elle est également un excellent choix pour accompagner une tasse de thé ou de café.\n\nChez Janati's Pâtisserie Artisanale, nous préparons notre Basboussa avec des ingrédients de qualité supérieure, selon des recettes familiales transmises de génération en génération.\n\nVenez déguster notre Basboussa chez Janati's Pâtisserie Artisanale et laissez-vous emporter en voyage à travers les saveurs exquises de notre cher Maroc. 🇲🇦💛 #Maroc #Harhoura #Rabat #Basboussa #Patisserie 😋🧁🍰👌"", 'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-4.fna.fbcdn.net/v/t39.30808-6/336741016_1481365972677790_3920645652252261759_n.jpg?stp=dst-jpg_p720x720&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeHAUh2iNgxyCvjFRtzN39avsCMLfajHNM-wIwt9qMc0zxA8vDg6aIbq0WeaMiEVugAj5M3stDDCw_TnedjPCyK0&_nc_ohc=YT6JSw30Y5oAX9vki3B&_nc_zt=23&_nc_ht=z-p3-scontent.fcmn1-4.fna&edm=AKK4YLsEAAAA&oh=00_AfAFfELVCN08RXr1U-OWtDqaaH_ithzEd2vzEVJICUIBmA&oe=64C7DD87', 'width': 720}}, 'target': {'id': '173484475640413', 'url': 'https://www.facebook.com/photo.php?fbid=173484475640413&set=a.104595589195969&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=173484475640413&set=a.104595589195969&type=3'}]",1,[],0,0,0,124
100391969617030_169179452737582,"🌟 🌙 اكتشفوا حلوى كعب الغزال اللذيذة من جاناتيز 🇲🇦💛

أفضل الحلويات الحرفية! يتم إعداد كعب الغزال لدينا باستخدام مكونات عالية الجودة ومحشوة بعجينة لذيذة, مزيج من اللوز و ماء زهر البرتقال. 🤤👌

اطلبوا من جاناتيز للحلويات الحرفية الآن وأضيفوا لمسة حلوة إلى يومكم! 😋

#كعب_الغزال #جاناتيز #مأكولات_مغربية #حلويات #rabat #maroc  🌙",2023-04-12T03:43:30+0000,"[{'description': '🌟 🌙 اكتشفوا حلوى كعب الغزال اللذيذة من جاناتيز 🇲🇦💛\n\nأفضل الحلويات الحرفية! يتم إعداد كعب الغزال لدينا باستخدام مكونات عالية الجودة ومحشوة بعجينة لذيذة, مزيج من اللوز و ماء زهر البرتقال. 🤤👌\n\nاطلبوا من جاناتيز للحلويات الحرفية الآن وأضيفوا لمسة حلوة إلى يومكم! 😋\n\n#كعب_الغزال #جاناتيز #مأكولات_مغربية #حلويات #rabat #maroc  🌙', 'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-2.fna.fbcdn.net/v/t39.30808-6/340764862_517622310581983_3062675564004648016_n.jpg?stp=dst-jpg_p720x720&_nc_cat=103&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeE88MEHheDFxxXm3iJJ6F5vcZj-Hn_pU_5xmP4ef-lT_lNH2HRkrv0iVRRWvsDts_Ivh0r3HrhojZpnqTje08at&_nc_ohc=_K_bXCR4FlcAX-DnHza&_nc_zt=23&_nc_ht=z-p3-scontent.fcmn1-2.fna&edm=AKK4YLsEAAAA&oh=00_AfDvjoJCpUNJmy6BnB3V_g92DkiIkOxZ0p4mF6h4brWeNw&oe=64C80DCD', 'width': 720}}, 'target': {'id': '169176979404496', 'url': 'https://www.facebook.com/photo.php?fbid=169176979404496&set=a.104595589195969&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=169176979404496&set=a.104595589195969&type=3'}]",2,[],0,0,0,124
100391969617030_168358469486347,,2023-04-10T22:14:44+0000,"[{'description': ""JANATI'S - Découvrez Nos Briouates amandes miel ! 🤩 Ces petits délices sucrés sont remplis d'un mélange de pâte d'amande, de miel et d'épices marocaines pour une explosion de saveurs dans chaque bouchée. 😋 😍🍯🥐 #JANATIS #patisserie #briouates #amandes #miel #rabat #harhoura"", 'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-3.fna.fbcdn.net/v/t39.30808-6/331715548_936493540843720_4487928688611464252_n.jpg?stp=dst-jpg_p720x720&_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeF5tivITSvTD3f5h1V9Ej-99O8xkjhzIaH07zGSOHMhobLNsIm2DxB7wQoZ7_aIYC8hjBZmnqryo9Y_sXEkmvwd&_nc_ohc=IjifQK6w4Z0AX8v262_&_nc_zt=23&_nc_ht=z-p3-scontent.fcmn1-3.fna&edm=AKK4YLsEAAAA&oh=00_AfCGtLkNiGvzQQ6V7qrxxrXKQLUnTbhJ2spPvChg3LYHKg&oe=64C83FBF', 'width': 720}}, 'target': {'id': '131053699883491', 'url': 'https://www.facebook.com/photo.php?fbid=131053699883491&set=a.104595589195969&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=131053699883491&set=a.104595589195969&type=3'}]",0,[],0,0,0,124
100391969617030_163926456596215,"JANATI'S est désormais ouvert tous les jours, y compris le lundi ! 😍🎉
Venez nous rendre visite dans notre Patisserie Artisanale et découvrez notre large sélection de délicieuses pâtisseries marocaines artisanales. 🧁👌
Vous pouvez maintenant satisfaire votre envie de sucreries à tout moment de la semaine ! Que vous cherchiez des gâteaux, des brioches, des biscuits, ou des pâtisseries traditionnelles marocaines, notre équipe de pâtissiers talentueux vous propose une expérience culinaire unique et authentique.

N'attendez plus pour venir nous rendre visite et goûter nos délicieuses pâtisseries marocaines artisanales. 🇲🇦 #JANATIS #PatisserieArtisanale #Maroc #Rabat #Harhoura",2023-04-04T14:31:05+0000,"[{'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-1.fna.fbcdn.net/v/t15.5256-10/339412538_744436517315473_1836587706449031691_n.jpg?stp=dst-jpg_s720x720&_nc_cat=107&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeFH3EeFSi3hhhJul-US69zlg4krfsD7gZ2DiSt-wPuBndj--Sa5D3G3wBEtiTkWVkQrFdxvwsm0SUrnU-b8cLeL&_nc_ohc=XMEgmmPW204AX9WXjUR&_nc_ht=z-p3-scontent.fcmn1-1.fna&edm=AKK4YLsEAAAA&oh=00_AfBMUpohZMLqha_OIrwbbf5fm8SFJ-Ry21nUd3ksGAY3Hg&oe=64C879B0', 'width': 405}, 'source': 'https://z-p3-video.fcmn1-4.fna.fbcdn.net/v/t39.25447-2/363819285_284300094189179_2727937541167788163_n.mp4?_nc_cat=106&vs=aeb49b467ba851c1&_nc_vs=HBksFQAYJEdCVnhyeFY3cmgtR2tRSUJBSU13d282OWxOc2xibWRqQUFBRhUAAsgBABUAGCRHUHlqTkJRcUptSno0RDBFQUR1ZnNDWnZ0WGNjYnY0R0FBQUYVAgLIAQBLB4gScHJvZ3Jlc3NpdmVfcmVjaXBlATENc3Vic2FtcGxlX2ZwcwAQdm1hZl9lbmFibGVfbnN1YgAgbWVhc3VyZV9vcmlnaW5hbF9yZXNvbHV0aW9uX3NzaW0AKGNvbXB1dGVfc3NpbV9vbmx5X2F0X29yaWdpbmFsX3Jlc29sdXRpb24AHXVzZV9sYW5jem9zX2Zvcl92cW1fdXBzY2FsaW5nABFkaXNhYmxlX3Bvc3RfcHZxcwAVACUAHIwXQAAAAAAAAAAREQAAACa24vvD%2F4RxFQIoAkMzGAt2dHNfcHJldmlldxwXQDMIcrAgxJwYIWRhc2hfZ2VuMmh3YmFzaWNfaHEyX2ZyYWdfMl92aWRlbxIAGBh2aWRlb3MudnRzLmNhbGxiYWNrLnByb2Q4ElZJREVPX1ZJRVdfUkVRVUVTVBsKiBVvZW1fdGFyZ2V0X2VuY29kZV90YWcGb2VwX2hkE29lbV9yZXF1ZXN0X3RpbWVfbXMBMAxvZW1fY2ZnX3J1bGUHdW5tdXRlZBNvZW1fcm9pX3JlYWNoX2NvdW50AzEzMBFvZW1faXNfZXhwZXJpbWVudAAMb2VtX3ZpZGVvX2lkEDE0MDQyMzYxMTM2OTM0NTASb2VtX3ZpZGVvX2Fzc2V0X2lkDzc0NDQzNTczNzMxNTU1MRVvZW1fdmlkZW9fcmVzb3VyY2VfaWQPMjQ4NTc1NDY0Mjc0MDc1HG9lbV9zb3VyY2VfdmlkZW9fZW5jb2RpbmdfaWQPMjQxMzcyNTIyMDk4OTE2DnZ0c19yZXF1ZXN0X2lkACUCHAAlxAEbB4gBcwQ3MTc0AmNkCjIwMjMtMDQtMDQDcmNiAzEwMANhcHAGVmlkw6lvAmN0DkZCX1NIT1JUU19QT1NUE29yaWdpbmFsX2R1cmF0aW9uX3MGMTkuMDg4AnRzFXByb2dyZXNzaXZlX2VuY29kaW5ncwA%3D&ccb=1-7&_nc_sid=a06cc9&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_eui2=AeHFL239ON0bLJvNa-HfDV3zBWNmBJY0OhUFY2YEljQ6FbAZ0J2tBMlfEce6ECCzSH0Pf8pTJHpfRxnJc0s4Pv9A&_nc_ohc=D4TAZzQbx8wAX9JFftv&_nc_ht=z-p3-video.fcmn1-4.fna&edm=AKK4YLsEAAAA&oh=00_AfA00QxJmLYI55KAIxa-cGTzaJZkVt7e6dwmY-mh5OxwkA&oe=64C86ED4&_nc_rid=427897033038301'}, 'target': {'id': '1404236113693450', 'url': 'https://www.facebook.com/reel/1404236113693450/'}, 'type': 'video_inline', 'url': 'https://www.facebook.com/reel/1404236113693450/'}]",6,[],0,1,0,124
100391969617030_163925126596348,"JANATI'S est désormais ouvert tous les jours, y compris le lundi ! 😍🎉
Venez nous rendre visite dans notre Patisserie Artisanale et découvrez notre large sélection de délicieuses pâtisseries marocaines artisanales. 🧁👌
Vous pouvez maintenant satisfaire votre envie de sucreries à tout moment de la semaine ! Que vous cherchiez des gâteaux, des brioches, des biscuits, ou des pâtisseries traditionnelles marocaines, notre équipe de pâtissiers talentueux vous propose une expérience culinaire unique et authentique.

N'attendez plus pour venir nous rendre visite et goûter nos délicieuses pâtisseries marocaines artisanales. 🇲🇦 #JANATIS #PatisserieArtisanale #Maroc #Rabat #Harhoura",2023-04-04T14:29:19+0000,"[{'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-4.fna.fbcdn.net/v/t15.5256-10/339996099_170111482586177_7899440686949243901_n.jpg?stp=dst-jpg_s720x720&_nc_cat=108&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeHA5loze7yxMJQhYaBVPF156QQKDg-eMVvpBAoOD54xW1wJTsu4DIWluNEGRmGNOh-frSy_nbcVLWXcHEi8C68q&_nc_ohc=eWSq8rncKI0AX8wt5RE&_nc_ht=z-p3-scontent.fcmn1-4.fna&edm=AKK4YLsEAAAA&oh=00_AfAelNOdRoGvHPBbgssfinRSENcOhFlhq0nElQwv8O4nng&oe=64C80103', 'width': 405}}, 'target': {'id': '1390394525129419', 'url': 'https://www.facebook.com/245871311735062/videos/1390394525129419'}, 'type': 'video_inline', 'url': 'https://www.facebook.com/245871311735062/videos/1390394525129419'}]",2,[],0,0,0,124
